               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.060812,            0.012767,           0.0075294,             0.82468,             0.96653,             0.95812,             0.53735,            0.050493,           0.0065749,           0.0033623,           0.0090496,           0.0090496,           0.0090496
                  50,            0.056293,            0.011298,           0.0087915,             0.73398,             0.91667,             0.87872,              0.3432,            0.047271,           0.0072514,           0.0033185,           0.0090298,           0.0090298,           0.0090298
                  51,            0.063421,            0.010246,           0.0076333,              0.7565,             0.96667,             0.97733,             0.46344,            0.046588,           0.0063949,           0.0032772,             0.00901,             0.00901,             0.00901
                  52,            0.053692,            0.010862,           0.0064849,             0.72153,             0.92466,              0.9523,             0.68916,            0.042733,           0.0065752,           0.0034184,           0.0089902,           0.0089902,           0.0089902
                  53,             0.05725,            0.010955,           0.0073645,             0.80101,             0.85069,             0.91664,             0.39888,            0.050682,           0.0069432,           0.0033421,           0.0089704,           0.0089704,           0.0089704
                  54,            0.064619,            0.010698,           0.0069665,             0.80381,             0.92309,             0.96369,             0.63731,            0.035325,           0.0058049,           0.0036261,           0.0089506,           0.0089506,           0.0089506
                  55,             0.04989,            0.010253,           0.0079578,             0.98846,             0.97226,               0.995,              0.7279,            0.040463,           0.0060249,           0.0035577,           0.0089308,           0.0089308,           0.0089308
                  56,            0.057928,            0.011614,           0.0056653,             0.84899,             0.96296,             0.96747,             0.51877,            0.042247,           0.0063467,           0.0035355,            0.008911,            0.008911,            0.008911
                  57,            0.057473,            0.011093,           0.0062746,             0.70306,                   1,              0.8282,             0.53218,             0.03578,           0.0061789,           0.0035075,           0.0088912,           0.0088912,           0.0088912
                  58,            0.054593,           0.0095053,           0.0068007,              0.8835,                   1,             0.94018,             0.55751,             0.04544,           0.0062652,           0.0034986,           0.0088714,           0.0088714,           0.0088714
                  59,            0.058435,           0.0093548,            0.006652,             0.98127,                   1,               0.995,             0.65188,            0.036949,           0.0053555,           0.0035891,           0.0088516,           0.0088516,           0.0088516
                  60,            0.048744,           0.0083686,           0.0069212,             0.89412,             0.97863,             0.97613,             0.61727,            0.036883,           0.0056691,           0.0034973,           0.0088318,           0.0088318,           0.0088318
                  61,            0.049855,            0.010589,           0.0073886,             0.95294,             0.93758,             0.98563,             0.40512,            0.044205,           0.0059933,           0.0035266,            0.008812,            0.008812,            0.008812
                  62,            0.062477,             0.01036,           0.0061487,             0.99077,             0.98946,               0.995,             0.70998,            0.035738,           0.0052053,           0.0035601,           0.0087922,           0.0087922,           0.0087922
                  63,            0.052609,           0.0096773,           0.0064088,             0.76406,             0.92932,             0.97712,             0.46264,            0.042527,           0.0054317,           0.0034355,           0.0087724,           0.0087724,           0.0087724
                  64,            0.059353,            0.010212,           0.0067482,             0.88945,                   1,             0.99446,             0.84791,             0.03166,           0.0052052,           0.0033752,           0.0087526,           0.0087526,           0.0087526
                  65,            0.049283,           0.0099782,            0.006415,             0.98773,                   1,               0.995,             0.52236,            0.040412,           0.0055262,           0.0032115,           0.0087328,           0.0087328,           0.0087328
                  66,            0.056339,           0.0089329,           0.0055351,             0.91762,                   1,             0.97867,             0.65045,            0.032079,           0.0050767,           0.0032213,            0.008713,            0.008713,            0.008713
                  67,            0.045793,            0.010281,           0.0050987,             0.81381,                   1,             0.95167,             0.40341,             0.03926,           0.0054801,           0.0031113,           0.0086932,           0.0086932,           0.0086932
                  68,             0.05611,           0.0080487,           0.0081432,             0.98339,                   1,               0.995,             0.71273,            0.034568,           0.0048398,           0.0031841,           0.0086734,           0.0086734,           0.0086734
                  69,            0.049813,            0.010303,           0.0050834,              0.7028,                   1,             0.94217,             0.60202,            0.037572,           0.0050915,            0.003167,           0.0086536,           0.0086536,           0.0086536
                  70,            0.050127,           0.0082155,           0.0066099,             0.98849,                   1,               0.995,             0.69161,            0.030792,           0.0046921,           0.0031793,           0.0086338,           0.0086338,           0.0086338
                  71,            0.048178,           0.0092365,           0.0070895,             0.71823,                   1,             0.92346,              0.6122,            0.040178,           0.0052279,            0.003224,            0.008614,            0.008614,            0.008614
                  72,            0.056705,           0.0088719,           0.0053053,             0.82629,                   1,             0.97655,             0.63788,            0.035237,           0.0049126,           0.0031803,           0.0085942,           0.0085942,           0.0085942
                  73,            0.052078,           0.0094644,           0.0061284,             0.96461,                   1,              0.9775,             0.61848,            0.031853,           0.0047753,           0.0033237,           0.0085744,           0.0085744,           0.0085744
                  74,            0.049741,            0.010402,           0.0073556,             0.98018,                   1,               0.995,             0.57521,            0.039493,           0.0048454,           0.0031745,           0.0085546,           0.0085546,           0.0085546
                  75,            0.058234,           0.0084059,           0.0054571,             0.86415,                   1,             0.98562,             0.77277,            0.031566,           0.0045603,           0.0032469,           0.0085348,           0.0085348,           0.0085348
                  76,            0.049229,           0.0084541,           0.0058202,             0.91506,                   1,             0.99403,             0.66846,            0.033925,           0.0046219,           0.0031406,            0.008515,            0.008515,            0.008515
                  77,            0.049122,           0.0095006,           0.0063938,             0.98787,                   1,               0.995,             0.72591,            0.027657,           0.0045124,            0.003161,           0.0084952,           0.0084952,           0.0084952
                  78,            0.046451,           0.0076006,           0.0080347,             0.94205,                   1,               0.995,             0.58339,            0.040441,           0.0048671,           0.0029728,           0.0084754,           0.0084754,           0.0084754
                  79,            0.056093,           0.0079888,           0.0067955,             0.65067,                   1,             0.95313,             0.64118,            0.037279,            0.004988,           0.0030359,           0.0084556,           0.0084556,           0.0084556
                  80,            0.053615,           0.0086079,           0.0055472,             0.79877,             0.98333,             0.93386,             0.55119,            0.038314,           0.0047358,           0.0030511,           0.0084358,           0.0084358,           0.0084358
                  81,            0.056029,           0.0089114,           0.0060348,             0.88429,                   1,             0.98615,              0.7288,            0.028162,           0.0044137,           0.0031153,            0.008416,            0.008416,            0.008416
                  82,            0.046037,           0.0086656,           0.0062151,             0.93637,                   1,             0.98919,             0.73512,             0.03161,           0.0044913,           0.0030464,           0.0083962,           0.0083962,           0.0083962
                  83,            0.046254,            0.007609,           0.0062024,             0.87109,                   1,             0.97256,             0.79286,            0.031655,           0.0042539,           0.0033285,           0.0083764,           0.0083764,           0.0083764
                  84,            0.044804,            0.008899,           0.0064932,             0.95196,                   1,             0.98388,             0.84359,             0.02645,           0.0041282,           0.0034014,           0.0083566,           0.0083566,           0.0083566
                  85,            0.041326,           0.0086768,           0.0065268,             0.94367,                   1,             0.98271,             0.64488,            0.029244,           0.0042454,           0.0034143,           0.0083368,           0.0083368,           0.0083368
                  86,            0.045141,           0.0081611,           0.0065341,             0.93897,                   1,             0.99364,             0.80731,            0.031103,           0.0041828,            0.003459,            0.008317,            0.008317,            0.008317
                  87,            0.042522,           0.0096018,            0.007263,             0.89174,                   1,             0.99087,             0.77307,            0.027987,           0.0041382,           0.0035109,           0.0082972,           0.0082972,           0.0082972
                  88,            0.046945,           0.0089708,           0.0068043,             0.98654,             0.98333,             0.99286,             0.59937,            0.036768,           0.0043672,           0.0034558,           0.0082774,           0.0082774,           0.0082774
                  89,            0.047635,           0.0081482,           0.0059122,             0.92868,             0.98333,             0.95449,              0.7676,            0.033739,           0.0043855,           0.0035087,           0.0082576,           0.0082576,           0.0082576
                  90,            0.046657,            0.010264,           0.0052677,             0.94289,             0.96667,             0.95597,             0.70582,            0.033585,           0.0042914,           0.0035435,           0.0082378,           0.0082378,           0.0082378
                  91,            0.047818,            0.007219,           0.0065812,             0.98754,                   1,               0.995,             0.76183,            0.030853,           0.0039975,           0.0035997,            0.008218,            0.008218,            0.008218
                  92,            0.043894,           0.0077287,           0.0078283,             0.99296,                   1,               0.995,             0.81943,            0.028611,           0.0040045,           0.0036284,           0.0081982,           0.0081982,           0.0081982
                  93,            0.039759,           0.0080199,           0.0056261,             0.99476,                   1,               0.995,             0.66788,            0.029472,           0.0039944,           0.0033461,           0.0081784,           0.0081784,           0.0081784
                  94,            0.043657,           0.0077163,           0.0055379,             0.80398,                   1,             0.95349,             0.73762,             0.03745,           0.0045055,             0.00335,           0.0081586,           0.0081586,           0.0081586
                  95,            0.049055,           0.0085017,           0.0062049,             0.87197,                   1,             0.97309,             0.71111,            0.031732,           0.0041614,           0.0031883,           0.0081388,           0.0081388,           0.0081388
                  96,            0.037871,           0.0098536,           0.0055354,             0.98453,                   1,               0.995,              0.7528,            0.026491,           0.0042075,           0.0032766,            0.008119,            0.008119,            0.008119
                  97,            0.037283,           0.0081682,            0.006796,             0.98592,                   1,               0.995,             0.79955,            0.024469,           0.0039613,           0.0030622,           0.0080992,           0.0080992,           0.0080992
                  98,             0.03924,           0.0088305,           0.0051023,              0.9493,                   1,             0.99339,             0.81929,            0.025538,           0.0042534,           0.0030762,           0.0080794,           0.0080794,           0.0080794
